house_type,locality,city,area,beds,bathrooms,balconies,furnishing,area_rate,rent
2 BHK House for Rent in Phase 7 JP Nagar Bangalore,Phase 7 JP Nagar,Bangalore,1000.0,2,2,0,Furnished,25.0,25000.0
1 BHK House for Rent in Chamrajpet Bangalore,Chamrajpet,Bangalore,150.0,1,1,0,Unfurnished,30.0,4500.0
"3 BHK Flat for Rent in Doddaballapur Main Road, Bangalore",Doddaballapur Main Road,Bangalore,1250.0,3,3,0,Semi-Furnished,34.0,42000.0
1 BHK House for Rent in Banaswadi Bangalore,Banaswadi,Bangalore,850.0,1,1,0,Semi-Furnished,11.0,9500.0
"2 BHK Flat for Rent in Naganathapura Rayasandra, Bangalore",Naganathapura,Bangalore,1250.0,2,2,2,Semi-Furnished,26.0,33000.0
"3 BHK Flat for Rent in Devanahalli, Bangalore",Devanahalli,Bangalore,1150.0,3,2,0,Furnished,26.0,30000.0
5 BHK House for Rent in Sanjayanagara Bangalore,Sanjayanagara,Bangalore,7000.0,5,5,0,Semi-Furnished,71.0,500000.0
2 BHK House for Rent in Kithaganur Main Road Bangalore,Kithaganur Main Road,Bangalore,1000.0,2,2,0,Furnished,14.0,14000.0
"1 BHK Flat for Rent in Electronic City, Bangalore",Electronic City,Bangalore,550.0,1,1,0,Semi-Furnished,16.0,9000.0
"2 BHK Flat for Rent in Sector 2 HSR Layout, Bangalore",Sector 2 HSR Layout,Bangalore,900.0,2,2,0,Semi-Furnished,50.0,45000.0
"5 BHK Flat for Rent in Bellandur, Outer Ring Road, Bangalore",Bellandur,Bangalore,4800.0,5,6,7,Semi-Furnished,47.0,230000.0
"2 BHK Flat for Rent in Kogilu Main Road, Bangalore",Kogilu Main Road,Bangalore,1022.0,2,2,2,Semi-Furnished,32.0,33000.0
"2 BHK Flat for Rent in Krishnarajapura, Bangalore",KR Puram,Bangalore,1240.0,2,2,2,Semi-Furnished,27.0,33000.0
"3 BHK Flat for Rent in Banashankari, Bangalore",Banashankari,Bangalore,2400.0,3,3,0,Unfurnished,19.0,45000.0
1 BHK House for Rent in Bettadasanapura Bangalore,Bettadasanapura,Bangalore,350.0,1,1,0,Unfurnished,9.0,3000.0
2 BHK House for Rent in Babusabpalya Bangalore,Babusahib Palya,Bangalore,800.0,2,1,0,Unfurnished,14.0,11000.0
3 BHK Villa for Rent in Narayanaghatta Bangalore,Narayanaghatta,Bangalore,1885.0,3,3,2,Semi-Furnished,29.0,55000.0
"3 BHK Flat for Rent in Devarachikkana Halli, Bangalore",Devarachikkana Halli,Bangalore,1740.0,3,3,0,Semi-Furnished,23.0,40000.0
3 BHK House for Rent in Thambu Chetty Palya Bangalore,Thambu Chetty Palya,Bangalore,2000.0,3,3,3,Semi-Furnished,16.0,33000.0
1 BHK House for Rent in Hennur Gardens Bangalore,Hennur,Bangalore,800.0,1,1,0,Semi-Furnished,23.0,18000.0
"2 BHK Flat for Rent in Yelahanka New Town, Bangalore",Yelahanka New Town,Bangalore,1234.0,2,2,2,Semi-Furnished,18.0,22000.0
"4 BHK Flat for Rent in Block 2nd JayaNagar East, Bangalore",Block 2nd JayaNagar East,Bangalore,2600.0,4,3,0,Semi-Furnished,21.0,55000.0
"3 BHK Flat for Rent in Hebbal, Bangalore",Hebbal,Bangalore,3000.0,3,4,2,Unfurnished,73.0,220000.00000000003
4 BHK Villa for Rent in Whitefield Bangalore,Whitefield,Bangalore,4390.0,4,4,3,Semi-Furnished,34.0,150000.0
2 BHK House for Rent in Phase 1st MCECHS Layout Bangalore,Phase 1st MCECHS Layout,Bangalore,1200.0,2,2,2,Semi-Furnished,23.0,28000.0
"2 BHK Flat for Rent in Hosa Road, off Hosur Road, Bangalore",Hosa Road,Bangalore,1221.0,2,2,2,Furnished,29.0,35000.0
1 BHK House for Rent in Andrahalli Bangalore,Andrahalli,Bangalore,500.0,1,1,0,Unfurnished,11.0,5500.0
"3 BHK Flat for Rent in Hadosiddapura, Chikkakannalli, Bangalore",Hadosiddapura,Bangalore,1780.0,3,3,2,Unfurnished,35.0,63000.0
"1 BHK Flat for Rent in Ramamurthy Nagar, Bangalore",Ramamurthy Nagar,Bangalore,220.0,1,1,0,Semi-Furnished,27.0,6000.0
"2 BHK Flat for Rent in Malleshpalya Main Road, Bangalore",Malleshpalya Main Road,Bangalore,1180.0,2,2,2,Semi-Furnished,29.0,34000.0
"3 BHK Flat for Rent in Whitefield, Bangalore",Whitefield,Bangalore,2134.0,3,3,0,Semi-Furnished,33.0,70000.0
"2 BHK House for Rent in Chennammana Kere, Banashankari Stage 3 Bangalore",Chennammana Kere,Bangalore,2400.0,2,2,0,Semi-Furnished,10.0,25000.0
"2 BHK Flat for Rent in Horamavu, Bangalore",Horamavu,Bangalore,950.0,2,2,2,Semi-Furnished,27.0,26000.0
"3 BHK Flat for Rent in Meenakshi Layout Choodasandra, Bangalore",Meenakshi Layout Choodasandra,Bangalore,1300.0,3,2,2,Unfurnished,35.0,45800.0
"2 BHK Flat for Rent in Whitefield, Bangalore",Whitefield,Bangalore,1450.0,2,2,2,Furnished,29.0,42000.0
"2 BHK Flat for Rent in Whitefield, Bangalore",Whitefield,Bangalore,950.0,2,2,0,Furnished,53.0,50000.0
"3 BHK Flat for Rent in Basavanna Nagar, Whitefield, Bangalore",Basavanna Nagar,Bangalore,2700.0,3,4,2,Semi-Furnished,41.0,110000.0
"2 BHK Flat for Rent in Bellandur, Outer Ring Road, Bangalore",Bellandur,Bangalore,945.0,2,2,2,Semi-Furnished,47.0,44000.0
"3 BHK Flat for Rent in Cambridge Layout, Jogupalya, Bangalore",Cambridge Layout,Bangalore,2000.0,3,3,2,Unfurnished,63.0,130000.0
2 BHK House for Rent in Yelahanka Bangalore,Yelahanka,Bangalore,600.0,2,2,0,Semi-Furnished,17.0,10000.0
"2 BHK Flat for Rent in Doddakannelli, Bangalore",Doddakannelli,Bangalore,1100.0,2,2,0,Semi-Furnished,32.0,35000.0
"4 BHK Flat for Rent in Hebbal, Bangalore",Hebbal,Bangalore,3895.0,4,4,3,Semi-Furnished,56.0,220000.00000000003
"4 BHK Flat for Rent in Whitefield, Bangalore",Whitefield,Bangalore,1200.0,4,4,0,Furnished,83.0,100000.0
"2 BHK House for Rent in Bcc Layout, Deepanjali Nagar Bangalore",BCC Layout,Bangalore,600.0,2,2,0,Unfurnished,33.0,20000.0
2 BHK House for Rent in Krishnarajapura Bangalore,KR Puram,Bangalore,1000.0,2,1,0,Semi-Furnished,16.0,16000.0
2 BHK House for Rent in Block 4th Jayanagar Bangalore,Block 4th Jayanagar,Bangalore,1100.0,2,3,0,Semi-Furnished,41.0,45000.0
4 BHK Villa for Rent in Marathahalli Bangalore,Marathahalli,Bangalore,2800.0,4,4,2,Semi-Furnished,43.0,120000.0
2 BHK House for Rent in Thambu Chetty Palya Bangalore,Thambu Chetty Palya,Bangalore,1100.0,2,2,0,Semi-Furnished,16.0,18000.0
"2 BHK Flat for Rent in Btm Layout, Bangalore",BTM Layout,Bangalore,1000.0,2,2,0,Semi-Furnished,25.0,25000.0
"2 BHK House for Rent in Kaggadasapura, Indira nagar Bangalore",Kaggadasapura,Bangalore,1000.0,2,2,0,Semi-Furnished,16.0,16000.0
4 BHK Villa for Rent in Budigere Bangalore,Budigere,Bangalore,1632.0,4,3,0,Semi-Furnished,28.0,45000.0
1 BHK House for Rent in Mahadevapura Layout Bangalore,Mahadevapura Layout,Bangalore,600.0,1,1,2,Semi-Furnished,28.0,16500.0
"3 BHK Flat for Rent in Richmond Town, Richmond Town, Bangalore",Richmond Town,Bangalore,1900.0,3,3,3,Semi-Furnished,63.0,120000.0
"1 BHK Flat for Rent in Whitefield, Bangalore",Whitefield,Bangalore,285.0,1,1,0,Unfurnished,88.0,25000.0
"1 BHK Flat for Rent in Munireddy Layout Konanakunte, Bangalore",Munireddy Layout,Bangalore,700.0,1,1,0,Unfurnished,13.0,9000.0
"3 BHK Flat for Rent in Kanakapura Road, Bangalore",Kanakapura Road,Bangalore,1450.0,3,3,0,Furnished,31.0,45000.0
"1 BHK Flat for Rent in Bommasandra, Bangalore",Bommasandra,Bangalore,500.0,1,1,0,Semi-Furnished,13.0,6500.0
3 BHK Villa for Rent in Bannerughatta Bangalore,Bannerghatta,Bangalore,1800.0,3,3,2,Semi-Furnished,40.0,72000.0
"1 BHK Flat for Rent in Block 6th Koramangala, Bangalore",Block 6th Koramangala,Bangalore,500.0,1,1,0,Semi-Furnished,42.0,21000.0
"1 BHK Flat for Rent in Nagegowdanapalya, Bangalore",Nagegowdanapalya,Bangalore,390.0,1,1,0,Furnished,64.0,25000.0
2 BHK House for Rent in Krishnarajapura Bangalore,KR Puram,Bangalore,900.0,2,2,0,Unfurnished,24.0,22000.0
"3 BHK Flat for Rent in Doddakallasandra, Konanakunte, Bangalore",Doddakallasandra,Bangalore,1280.0,3,3,0,Semi-Furnished,34.0,43800.0
1 BHK House for Rent in Hulimavu Bangalore,Hulimavu,Bangalore,600.0,1,1,0,Semi-Furnished,13.0,8000.0
"3 BHK Flat for Rent in Koramangala 80 Feet Road, Bangalore",Koramangala 80 Feet Road,Bangalore,2400.0,3,4,3,Semi-Furnished,52.0,130000.0
4 BHK House for Rent in Devanahalli Bangalore,Devanahalli,Bangalore,4500.0,4,5,2,Semi-Furnished,33.0,150000.0
"3 BHK Flat for Rent in Hosur Road, Bangalore",Hosur Road,Bangalore,1735.0,3,3,3,Semi-Furnished,46.0,80000.0
2 BHK House for Rent in Munnekollal Bangalore,Munnekollal,Bangalore,1150.0,2,2,2,Unfurnished,30.0,34000.0
"3 BHK Flat for Rent in Munnekollal, Bangalore",Munnekollal,Bangalore,2000.0,3,2,0,Unfurnished,20.0,40000.0
"3 BHK Flat for Rent in Aavalahalli, Bangalore",Avalahalli,Bangalore,3600.0,3,4,0,Semi-Furnished,19.0,70000.0
1 BHK House for Rent in Hbr Layout Bangalore,HBR Layout,Bangalore,300.0,1,1,0,Unfurnished,28.0,8500.0
3 BHK House for Rent in Ambalipura Sarjapur Road Bangalore,Ambalipura Sarjapur Road,Bangalore,2200.0,3,3,2,Furnished,35.0,78000.0
3 BHK House for Rent in Nisarga Nandana Layout Bangalore,Nisarga Nandana Layout,Bangalore,1560.0,3,3,0,Semi-Furnished,14.0,22000.0
2 BHK House for Rent in Papareddipalya Bangalore,Papareddipalya,Bangalore,650.0,2,1,0,Unfurnished,17.0,11000.0
"2 BHK Flat for Rent in Hosur Road, Bangalore",Hosur Road,Bangalore,1198.0,2,2,0,Semi-Furnished,43.0,52000.0
"3 BHK Flat for Rent in Kogilu, Bangalore",Kogilu,Bangalore,1500.0,3,3,2,Semi-Furnished,37.0,55000.0
1 BHK House for Rent in Shanthala Nagar Ashok Nagar Bangalore,Shanthala Nagar,Bangalore,850.0,1,1,0,Furnished,38.0,32000.0
"2 BHK Flat for Rent in Phase 7 JP Nagar, Bangalore",Phase 7 JP Nagar,Bangalore,2000.0,2,2,0,Semi-Furnished,14.0,28000.0
"3 BHK Flat for Rent in Bannerghatta Main Road, Bangalore",Bannerghatta Road,Bangalore,2300.0,3,4,4,Semi-Furnished,15.0,35000.0
"1 BHK Flat for Rent in Whitefield, Bangalore",Whitefield,Bangalore,500.0,1,1,0,Semi-Furnished,20.0,10000.0
1 BHK House for Rent in Stage 2nd Banashankari Bangalore,Banashankari Stage 2,Bangalore,520.0,1,2,0,Unfurnished,10.0,5000.0
"3 BHK Flat for Rent in Marathahalli, Bangalore",Marathahalli,Bangalore,750.0,3,3,2,Unfurnished,97.0,73000.0
"2 BHK Flat for Rent in Block 1st HRBR Layout, Bangalore",HRBR Layout Block 1,Bangalore,1150.0,2,2,0,Semi-Furnished,28.0,32000.0
3 BHK House for Rent in J P Nagar Bangalore,JP Nagar,Bangalore,3000.0,3,4,0,Semi-Furnished,37.0,110000.0
4 BHK Villa for Rent in Whitefield Bangalore,Whitefield,Bangalore,2800.0,4,4,4,Semi-Furnished,29.0,80000.0
"1 BHK House for Rent in Kammagondahalli, Jalahalli Bangalore",Kammagondahalli,Bangalore,400.0,1,1,0,Unfurnished,11.0,4500.0
"1 BHK Flat for Rent in Begur, Bangalore",Begur,Bangalore,470.0,1,1,2,Semi-Furnished,64.0,30000.0
5 BHK House for Rent in Kannuru Bangalore,Kannuru,Bangalore,3300.0,5,7,2,Semi-Furnished,30.0,100000.0
3 BHK House for Rent in Kaval Bairasandra Bangalore,Kaval Byrasandra,Bangalore,1280.0,3,3,0,Semi-Furnished,18.0,23000.0
"3 BHK Flat for Rent in Phase 2 Electronic City, Bangalore",Electronic City Phase 2,Bangalore,1650.0,3,3,2,Furnished,33.0,55000.0
"4 BHK Flat for Rent in Koramangala, Bangalore",Koramangala,Bangalore,1800.0,4,5,0,Semi-Furnished,83.0,150000.0
5 BHK House for Rent in Hulimavu Bangalore,Hulimavu,Bangalore,3832.0,5,5,0,Semi-Furnished,29.0,110000.0
2 BHK House for Rent in Bagaluru Bangalore,Bagaluru,Bangalore,1100.0,2,2,0,Semi-Furnished,15.0,17000.0
"3 BHK Flat for Rent in Yeswanthpur, Bangalore",Yeswanthpur,Bangalore,1480.0,3,3,2,Semi-Furnished,47.0,70000.0
"3 BHK Flat for Rent in Block 5th Koramangala, Bangalore",Block 5th Koramangala,Bangalore,1620.0,3,3,2,Semi-Furnished,31.0,50000.0
"2 BHK Flat for Rent in Hulimavu, Bangalore",Hulimavu,Bangalore,770.0,2,2,0,Semi-Furnished,39.0,30000.0
1 BHK House for Rent in Ayyappa Nagar Krishnarajapura Bangalore,Ayappa Nagar KR Puram,Bangalore,700.0,1,1,0,Unfurnished,19.0,13500.0
"4 BHK Flat for Rent in Viveka Nagar, Bangalore",Viveka Nagar,Bangalore,2500.0,4,4,4,Unfurnished,24.0,60000.0
"4 BHK Flat for Rent in HAL Old Airport Road, Bangalore",HAL Old Airport Road,Bangalore,3470.0,4,4,4,Semi-Furnished,58.0,200000.0
"2 BHK Flat for Rent in Doddathoguru, Electronic City, Bangalore",Doddathoguru,Bangalore,912.0,2,2,0,Semi-Furnished,22.0,20000.0
"2 BHK Flat for Rent in BDA Layout HSR Layout, Bangalore",BDA layout-HSR Layout,Bangalore,1200.0,2,2,2,Semi-Furnished,29.0,35000.0
"3 BHK Flat for Rent in T Dasarahalli, Bangalore",T Dasarahalli,Bangalore,1173.0,3,2,0,Semi-Furnished,36.0,42000.0
2 BHK House for Rent in Margondanahalli Bangalore,Margondanahalli,Bangalore,600.0,2,1,0,Semi-Furnished,11.0,6500.0
2 BHK House for Rent in Krishnarajapura Bangalore,KR Puram,Bangalore,700.0,2,2,0,Semi-Furnished,29.0,20500.0
3 BHK Villa for Rent in Whitefield Bangalore,Whitefield,Bangalore,2200.0,3,3,0,Semi-Furnished,41.0,90000.0
"3 BHK Flat for Rent in Sathanur, Bangalore",Sathanur,Bangalore,1431.0,3,3,0,Furnished,34.0,48000.0
"3 BHK Flat for Rent in 1st Block Rajajinagar, Bangalore",Rajaji Nagar Block 1,Bangalore,1700.0,3,3,3,Semi-Furnished,42.0,72000.0
2 BHK House for Rent in Yelahanka New Town Bangalore,Yelahanka New Town,Bangalore,900.0,2,2,0,Semi-Furnished,26.0,23000.0
"1 BHK Flat for Rent in Tumkur Road, Bangalore",Tumkur Road,Bangalore,422.0,1,1,0,Furnished,59.0,25000.0
"3 BHK Flat for Rent in Hrbr Layout, Kalyan Nagar, Outer Ring Road, Bangalore",HRBR Layout,Bangalore,2350.0,3,2,0,Semi-Furnished,34.0,79000.0
"4 BHK Flat for Rent in Bengaluru Main Road, Bangalore",Bengaluru Main Road,Bangalore,2400.0,4,3,0,Semi-Furnished,17.0,40000.0
"2 BHK Flat for Rent in Panathur, Bangalore",Panathur,Bangalore,730.0,2,2,0,Unfurnished,55.0,40000.0
"1 BHK Flat for Rent in Rustam Bagh Layout, Bangalore",Rustam Bagh Layout,Bangalore,500.0,1,1,0,Furnished,50.0,25000.0
"2 BHK House for Rent in Domlur, Domlur Bangalore",Domlur,Bangalore,1200.0,2,2,0,Unfurnished,15.0,18000.0
"2 BHK Flat for Rent in Chikkanna Layout, Bangalore",Chikkanna Layout,Bangalore,1359.0,2,2,2,Semi-Furnished,35.0,47000.0
2 BHK Villa for Rent in Vasanth Vihar AWHO Bangalore,Vasanth Vihar AWHO,Bangalore,1300.0,2,2,0,Semi-Furnished,23.0,30000.0
"2 BHK Flat for Rent in Chikkabanavara, Bangalore",Chikkabanavara,Bangalore,970.0,2,2,0,Unfurnished,26.0,25000.0
"2 BHK Flat for Rent in Kodigenahalli, Bangalore",Kodigenahalli,Bangalore,1000.0,2,2,0,Semi-Furnished,20.0,20000.0
"3 BHK Flat for Rent in Hulimavu, Bangalore",Hulimavu,Bangalore,1450.0,3,2,0,Unfurnished,17.0,25000.0
"1 BHK Flat for Rent in Koramangala, Bangalore",Koramangala,Bangalore,1200.0,1,1,0,Semi-Furnished,15.0,18000.0
"3 BHK Flat for Rent in Domlur, Domlur, Bangalore",Domlur,Bangalore,1800.0,3,3,2,Furnished,36.0,65000.0
4 BHK House for Rent in Bhyraveshwara Nagar Govindaraja Nagar Ward Bangalore,Bhyraveshwara Nagar,Bangalore,950.0,4,4,0,Unfurnished,37.0,35000.0
"4 BHK Flat for Rent in Nagasandra Main Road, Bangalore",Nagasandra Main Road,Bangalore,2150.0,4,4,2,Semi-Furnished,33.0,71000.0
"1 BHK House for Rent in Kamakshipalya, Outer Ring Road Bangalore",Kamakshipalya,Bangalore,600.0,1,1,0,Semi-Furnished,8.0,5000.0
"2 BHK Flat for Rent in Nallurhalli, Whitefield, Borewell Road, Bangalore",Nallurhalli,Bangalore,1260.0,2,2,0,Semi-Furnished,28.0,35000.0
"4 BHK Flat for Rent in Sarjapur Road, Bangalore",Sarjapur Road,Bangalore,1562.0,4,4,2,Semi-Furnished,65.0,100000.0
"3 BHK Flat for Rent in Yeswanthpur, Bangalore",Yeswanthpur,Bangalore,1800.0,3,3,0,Unfurnished,27.0,48000.0
2 BHK House for Rent in Nagdevanahalli Bangalore,Nagdevanahalli,Bangalore,850.0,2,2,0,Unfurnished,18.0,15000.0
"3 BHK Flat for Rent in Huvinayakanahalli, Bangalore",Huvinayakanahalli,Bangalore,1043.0,3,2,0,Semi-Furnished,24.0,25000.0
1 BHK House for Rent in Kadubeesanahalli Bangalore,Kadubeesanahalli,Bangalore,550.0,1,1,0,Furnished,40.0,22000.0
4 BHK Villa for Rent in Marathahalli Bangalore,Marathahalli,Bangalore,4124.0,4,4,0,Semi-Furnished,42.0,180000.0
3 BHK Villa for Rent in V Kallahalli Bangalore,V Kallahalli,Bangalore,1662.0,3,3,0,Furnished,27.0,45000.0
"4 BHK Flat for Rent in Stage 2 RMV, Bangalore",RMV Extension Stage 2,Bangalore,2000.0,4,3,0,Furnished,38.0,75000.0
"3 BHK Flat for Rent in Koramangala, Bangalore",Koramangala,Bangalore,1100.0,3,3,0,Furnished,182.0,200000.0
"3 BHK Flat for Rent in Outer Ring Road, Bangalore",Ring Road,Bangalore,1500.0,3,3,2,Unfurnished,40.0,60000.0
"2 BHK Flat for Rent in Bannerghatta Main Road, Bangalore",Bannerghatta Road,Bangalore,965.0,2,2,2,Semi-Furnished,33.0,32000.0
4 BHK Villa for Rent in Hennur Main Road Bangalore,Hennur Main Road,Bangalore,2900.0,4,5,3,Semi-Furnished,45.0,130000.0
"2 BHK House for Rent in Hosa Road, off Hosur Road Bangalore",Hosa Road,Bangalore,900.0,2,2,0,Semi-Furnished,18.0,16500.0
1 BHK House for Rent in Aditya Nagar JP Nagar Bangalore,Aditya nagar,Bangalore,2100.0,1,3,3,Semi-Furnished,17.0,35000.0
5 BHK House for Rent in Vijaya Bank Layout Bommanahalli Bangalore,Vijaya Bank Layout Bommanahalli,Bangalore,4500.0,5,4,4,Semi-Furnished,18.0,80000.0
"2 BHK Flat for Rent in Varthur, Bangalore",Varthur,Bangalore,1109.0,2,2,2,Semi-Furnished,32.0,36000.0
"3 BHK Flat for Rent in Doddakallasandra, Konanakunte, Bangalore",Doddakallasandra,Bangalore,1750.0,3,3,2,Semi-Furnished,31.0,55000.0
2 BHK House for Rent in Konanakunte Bangalore,Konanakunte,Bangalore,1200.0,2,2,0,Semi-Furnished,21.0,25000.0
1 BHK House for Rent in Phase 1 Electronics City Bangalore,Electronics City Phase 1,Bangalore,450.0,1,1,0,Semi-Furnished,36.0,16000.0
1 BHK House for Rent in Gunjur Bangalore,Gunjur,Bangalore,500.0,1,1,0,Unfurnished,22.0,11000.0
"3 BHK Flat for Rent in Sector 6 HSR Layout, Bangalore",Sector 6 HSR Layout,Bangalore,1300.0,3,3,2,Semi-Furnished,46.0,60000.0
"4 BHK Flat for Rent in Nagavara, Bangalore",Nagavara,Bangalore,2600.0,4,4,0,Semi-Furnished,23.0,60000.0
"3 BHK Flat for Rent in Mahalakshmipuram Layout, Mahalakshmipuram, Bangalore",Mahalakshmipuram Layout,Bangalore,1550.0,3,3,3,Semi-Furnished,35.0,55000.0
5 BHK House for Rent in J P Nagar Bangalore,JP Nagar,Bangalore,2400.0,5,4,0,Semi-Furnished,83.0,200000.0
1 BHK House for Rent in Arekere Bangalore,Arekere,Bangalore,600.0,1,1,0,Furnished,15.0,9000.0
"3 BHK Flat for Rent in Gottigere, Bangalore",Gottigere,Bangalore,1348.0,3,2,2,Unfurnished,38.0,51000.0
"3 BHK Flat for Rent in Kannamangala, Bangalore",Kannamangala,Bangalore,2229.0,3,3,3,Furnished,31.0,70000.0
3 BHK House for Rent in Sahakar Nagar Bangalore,Sahakara Nagar,Bangalore,2500.0,3,3,0,Semi-Furnished,30.0,75000.0
"3 BHK Flat for Rent in Mahadevapura, Bangalore",Mahadevapura,Bangalore,1602.0,3,2,2,Semi-Furnished,41.0,65000.0
"2 BHK Flat for Rent in Devanahalli, Bangalore",Devanahalli,Bangalore,950.0,2,2,0,Unfurnished,24.0,23000.0
"2 BHK Flat for Rent in Uttarahalli Hobli, Bangalore",Uttarahalli,Bangalore,800.0,2,2,0,Semi-Furnished,20.0,16000.0
"1 BHK Flat for Rent in Electronic City, Bangalore",Electronic City,Bangalore,605.0,1,1,2,Semi-Furnished,21.0,13000.0
"2 BHK Flat for Rent in Judicial Layout, Yelahanka, Bangalore",Judicial Layout,Bangalore,1200.0,2,2,2,Furnished,38.0,45000.0
"3 BHK Flat for Rent in Hebbal, Bangalore",Hebbal,Bangalore,1950.0,3,3,2,Semi-Furnished,36.0,70000.0
"1 BHK Flat for Rent in Sector 3 HSR Layout, Bangalore",Sector 3 HSR Layout,Bangalore,650.0,1,1,3,Semi-Furnished,55.0,36000.0
4 BHK House for Rent in Byrathi Bangalore,Byrathi,Bangalore,1700.0,4,3,0,Unfurnished,13.0,22000.0
"3 BHK Flat for Rent in Hebbal, Bangalore",Hebbal,Bangalore,1980.0,3,4,0,Semi-Furnished,38.0,75000.0
"1 BHK Flat for Rent in Hosur Road, Bangalore",Hosur Road,Bangalore,500.0,1,1,0,Semi-Furnished,32.0,16000.0
"3 BHK Flat for Rent in Suryanagar, Bangalore",Suryanagar,Bangalore,1500.0,3,2,3,Semi-Furnished,14.0,21500.0
1 BHK House for Rent in Anchepalya Bangalore,Anchepalya,Bangalore,400.0,1,1,0,Unfurnished,11.0,4500.0
"3 BHK Flat for Rent in Bagaluru, Bangalore",Bagaluru,Bangalore,1277.0,3,2,2,Semi-Furnished,26.0,33000.0
1 BHK House for Rent in Bommanahalli Bangalore,Bommanahalli,Bangalore,400.0,1,1,0,Unfurnished,19.0,7500.0
"2 BHK Flat for Rent in CV Raman Nagar, Bangalore",C V Raman Nagar,Bangalore,1250.0,2,2,0,Semi-Furnished,32.0,40000.0
1 BHK House for Rent in Mahadevapura Bangalore,Mahadevapura,Bangalore,500.0,1,1,0,Semi-Furnished,37.0,18500.0
"1 BHK House for Rent in Kumaraswamy Layout, Kumaraswamy Layout Bangalore",Kumaraswamy Layout,Bangalore,600.0,1,1,0,Semi-Furnished,20.0,12000.0
"4 BHK Flat for Rent in Brigade Metropolis, Mahadevapura, Bangalore",Brigade Metropolis,Bangalore,2300.0,4,4,3,Semi-Furnished,57.0,130000.0
"3 BHK Flat for Rent in Byrathi, Bangalore",Byrathi,Bangalore,11800.0,3,2,2,Semi-Furnished,4.0,44000.0
2 BHK House for Rent in Nelamangala Town Bangalore,NelaMangala,Bangalore,600.0,2,1,0,Unfurnished,12.0,7000.0
"3 BHK Flat for Rent in Stage 2 RMV, Bangalore",RMV Extension Stage 2,Bangalore,1350.0,3,3,3,Semi-Furnished,37.0,50000.0
"3 BHK Flat for Rent in Singasandra, Hosur Road, Bangalore",Singasandra,Bangalore,1600.0,3,3,4,Furnished,28.0,45000.0
"3 BHK Flat for Rent in Whitefield, Bangalore",Whitefield,Bangalore,1600.0,3,3,2,Unfurnished,53.0,85000.0
3 BHK House for Rent in Sarjapura Bangalore,Sarjapur,Bangalore,1750.0,3,3,0,Semi-Furnished,18.0,32000.0
"3 BHK Flat for Rent in Hadosiddapura, Chikkakannalli, Bangalore",Hadosiddapura,Bangalore,1507.0,3,3,0,Semi-Furnished,42.0,64000.0
3 BHK Villa for Rent in Whitefield Bangalore,Whitefield,Bangalore,2000.0,3,3,0,Semi-Furnished,38.0,75000.0
"2 BHK Flat for Rent in Tumkur Road, Bangalore",Tumkur Road,Bangalore,1239.0,2,2,0,Semi-Furnished,25.0,31000.0
"1 BHK Flat for Rent in Ganga Nagar Layout, Bangalore",Ganga Nagar Layout,Bangalore,1592.0,1,2,2,Furnished,163.0,260000.0
4 BHK Villa for Rent in IVC Road Bangalore,IVC Road,Bangalore,6250.0,4,7,4,Furnished,51.0,320000.0
"2 BHK Flat for Rent in Kempegowda International Airport Road, Bangalore",New International Airport Road,Bangalore,1143.0,2,2,0,Semi-Furnished,23.0,26000.0
"2 BHK Flat for Rent in Hoodi, Hoodi, Bangalore",Hoodi,Bangalore,979.0,2,2,0,Furnished,36.0,35000.0
"2 BHK Flat for Rent in Indiranagar, Bangalore",Indira Nagar,Bangalore,850.0,2,2,0,Furnished,53.0,45000.0
2 BHK House for Rent in Thanisandra Bangalore,Thanisandra,Bangalore,1000.0,2,2,0,Semi-Furnished,21.0,21000.0
"3 BHK Flat for Rent in Block 1st East Jayanagar, Bangalore",1st Block East,Bangalore,1100.0,3,2,0,Unfurnished,33.0,36000.0
4 BHK Villa for Rent in Sarjapura Attibele Road Bangalore,Sarjapura Attibele Road,Bangalore,3800.0,4,4,2,Unfurnished,17.0,63000.0
"2 BHK Flat for Rent in Thanisandra Main Road, Bangalore",Thanisandra Main Road,Bangalore,200.0,2,2,3,Semi-Furnished,190.0,38000.0
"3 BHK Villa for Rent in Judicial Layout, Yelahanka Bangalore",Judicial Layout,Bangalore,9000.0,3,3,4,Furnished,39.0,350000.0
5 BHK Villa for Rent in Kadubeesanahalli Bangalore,Kadubeesanahalli,Bangalore,3500.0,5,4,4,Unfurnished,51.0,180000.0
"2 BHK Flat for Rent in Whitefield, Bangalore",Whitefield,Bangalore,1100.0,2,2,0,Furnished,38.0,42000.0
"3 BHK Flat for Rent in Hosur Road, Bangalore",Hosur Road,Bangalore,1512.0,3,3,0,Unfurnished,42.0,64000.0
"2 BHK Flat for Rent in Jakkuru Main Road, Bangalore",Jakkuru Main Road,Bangalore,1057.0,2,2,0,Semi-Furnished,33.0,35000.0
1 BHK House for Rent in Vijayanagar Bangalore,Vijayanagar,Bangalore,250.0,1,1,0,Unfurnished,14.0,3500.0
"2 BHK House for Rent in Jakkasandra Extension, Koramangala Bangalore",Jakkasandra Extension,Bangalore,850.0,2,1,0,Semi-Furnished,18.0,15000.0
2 BHK House for Rent in Madhuranagara Bangalore,Madhuranagara,Bangalore,950.0,2,2,0,Semi-Furnished,20.0,19000.0
