house_type,locality,city,area,beds,bathrooms,balconies,furnishing,area_rate,rent
1 BHK House for Rent in Horamavu Bangalore,Horamavu,Bangalore,800.0,1,1,0,Unfurnished,19.0,15000.0
"2 BHK Flat for Rent in Tumkur Road, Bangalore",Tumkur Road,Bangalore,1058.0,2,2,0,Semi-Furnished,64.0,68000.0
4 BHK Villa for Rent in Hoskote Bangalore,Hoskote,Bangalore,2650.0,4,4,0,Semi-Furnished,13.0,35000.0
"3 BHK Flat for Rent in Phase 5 JP Nagar, Bangalore",Phase 5 JP Nagar,Bangalore,1200.0,3,2,0,Semi-Furnished,69.0,83334.0
"> 10 BHK Flat for Rent in Bagalur Main Road, Bangalore",Bagalur Main Road,Bangalore,795.0,10,2,0,Semi-Furnished,23.0,18000.0
1 BHK House for Rent in Phase 8th JP Nagar Bangalore,Phase 8th JP Nagar,Bangalore,600.0,1,1,0,Semi-Furnished,23.0,14000.0
"4 BHK Flat for Rent in Thanisandra, Bangalore",Thanisandra,Bangalore,2359.0,4,5,0,Furnished,51.0,120000.0
"3 BHK Flat for Rent in Hulimavu, Bangalore",Hulimavu,Bangalore,1175.0,3,2,2,Semi-Furnished,27.0,32000.0
"3 BHK Flat for Rent in Ashok Nagar, Bangalore",Ashok Nagar,Bangalore,2300.0,3,3,3,Semi-Furnished,87.0,200000.0
"3 BHK Flat for Rent in Whitefield, Bangalore",Whitefield,Bangalore,1382.0,3,3,2,Semi-Furnished,72.0,100000.0
"1 BHK Flat for Rent in Hsr Layout, Bangalore",HSR Layout,Bangalore,550.0,1,1,0,Semi-Furnished,47.0,26000.0
1 BHK House for Rent in Byrathi Bangalore,Byrathi,Bangalore,700.0,1,1,0,Semi-Furnished,14.0,10000.0
"4 BHK Flat for Rent in 1A Block Koramangala, Bangalore",1A Block Koramangala,Bangalore,2100.0,4,4,3,Semi-Furnished,83.0,180000.0
4 BHK Villa for Rent in Bommasandra Bangalore,Bommasandra,Bangalore,2200.0,4,4,0,Semi-Furnished,18.0,40000.0
"3 BHK Flat for Rent in Aavalahalli, Bangalore",Avalahalli,Bangalore,2200.0,3,5,3,Semi-Furnished,37.0,82000.0
"3 BHK Flat for Rent in Banaswadi, Bangalore",Banaswadi,Bangalore,1600.0,3,3,2,Semi-Furnished,28.0,44000.0
"2 BHK Flat for Rent in Jalahalli West, Bangalore",Jalahalli West,Bangalore,800.0,2,2,0,Furnished,30.0,24000.0
"3 BHK Flat for Rent in Kasavanahalli, Bangalore",Kasavanahalli,Bangalore,1511.0,3,3,0,Semi-Furnished,33.0,50000.0
"2 BHK Flat for Rent in Palanahalli Road, Bangalore",Palanahalli Road,Bangalore,900.0,2,2,2,Furnished,24.0,22000.0
